Fylke;Bird;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017
01 Østfold;Willow Ptarmigan;0;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02 Akershus;Willow Ptarmigan;0;0;;;0;0;0;0;;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
03 Oslo;Willow Ptarmigan;0;0;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04 Hedmark;Willow Ptarmigan;26050;22650;18600;12900;12250;10150;9450;10400;11000;9600;11290;13840;19140;21720;23480;19540;20090;16840;8900;12500;13700;5650;9150;12400;2700;8550
05 Oppland;Willow Ptarmigan;34350;17850;22550;17850;11800;9650;9650;12650;13900;10800;13850;19080;22330;21400;22780;19840;22200;16730;9150;12350;10800;6050;8000;11300;4250;6800
06 Buskerud;Willow Ptarmigan;18150;14450;18000;10100;8300;5700;7400;6800;6650;5900;8240;10590;10410;10480;12370;9830;8290;8020;5750;5750;4300;2600;3350;5250;2850;5200
07 Vestfold;Willow Ptarmigan;0;0;;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08 Telemark;Willow Ptarmigan;10500;9400;11950;8650;5900;5400;5500;7050;6600;5200;6980;6430;5830;5150;6630;4550;4150;4190;3450;3500;2650;1750;1900;2600;1850;2300
09 Aust-Agder;Willow Ptarmigan;7750;5750;7500;4100;6150;2200;3950;5250;4700;4000;4280;4470;4240;3550;3100;2760;3090;2800;2800;3500;2000;1450;1550;2300;1650;1950
10 Vest-Agder;Willow Ptarmigan;15450;14550;11450;10250;9900;6600;8400;8050;7200;6000;6270;6530;6890;5860;4560;3810;4200;3900;3500;4450;2650;1400;2200;3300;2600;2700
11 Rogaland;Willow Ptarmigan;4650;3450;3950;2400;3300;2350;3800;2450;2450;1900;2740;2530;2840;2360;2040;1450;1730;1090;1300;1500;850;500;600;1000;500;500
12 Hordaland;Willow Ptarmigan;13800;12750;7900;5350;4950;4450;5150;6250;5650;5400;7420;5950;6340;6810;6250;4650;4720;3220;3150;3950;2800;1400;2000;2750;900;1400
14 Sogn og Fjordane;Willow Ptarmigan;4500;5200;5450;3450;3550;4450;5200;4700;5150;4900;5680;5410;5760;5260;4170;3260;2960;2330;2400;2500;2250;1250;1550;2350;1000;1550
15 Møre og Romsdal;Willow Ptarmigan;9450;8600;7400;6150;5050;4250;7100;8000;9600;8100;7510;5850;6940;6330;4260;3610;4090;2530;2400;2650;2500;1400;1750;2100;1250;1850
16 Sør-Trøndelag;Willow Ptarmigan;31150;24050;29550;21850;20400;23450;27650;32950;39450;34700;35070;27470;30540;31990;20430;18270;23940;25290;14350;17100;19050;6450;12300;17100;5050;13200
17 Nord-Trøndelag;Willow Ptarmigan;35950;48200;47400;26200;24750;22100;33400;53750;67050;52300;46890;30230;35880;41890;14640;15890;27220;21610;15450;22200;28400;13150;13700;18650;12800;16050
18 Nordland;Willow Ptarmigan;30700;25500;33700;32400;29400;27550;44600;58200;57100;56500;51890;35760;33250;34680;18200;11460;17950;11940;10500;12850;20650;8950;11200;18500;11300;10750
19 Troms - Romsa;Willow Ptarmigan;26200;26600;39600;37000;38250;38650;47350;55650;67800;50800;38080;31060;26960;25730;23570;19900;18580;13610;11800;12600;17900;15200;15500;20750;26450;23800
20 Finnmark - Finnmárku;Willow Ptarmigan;35900;50400;38500;36450;50350;43050;45500;40650;38200;29900;32110;55540;67960;67610;82320;77750;58280;18930;15150;10300;19550;10200;15150;19350;36150;21450
AA Unknown hunting county;Willow Ptarmigan;0;0;6400;1750;850;200;300;200;850;600;810;760;800;750;750;450;290;260;200;300;200;100;50;250;150;100
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
