cat	county	Total area km2	RSFbin	RSF m2	RSF km2
1	Oslo	454.09	1	353411133.24	353.41
2	Hedmark	27397.81	1	16685103310.52	16685.10
2	Hedmark	27397.81	2	2234034564.05	2234.03
2	Hedmark	27397.81	3	1355381069.35	1355.38
2	Hedmark	27397.81	4	984186160.88	984.19
2	Hedmark	27397.81	5	792682981.28	792.68
2	Hedmark	27397.81	6	747114757.22	747.11
2	Hedmark	27397.81	7	600513810.11	600.51
2	Hedmark	27397.81	8	570145493.93	570.15
2	Hedmark	27397.81	9	572256867.25	572.26
2	Hedmark	27397.81	10	616476008.36	616.48
3	Oppland	25192.09	1	14275553866.08	14275.55
3	Oppland	25192.09	2	1990562441.29	1990.56
3	Oppland	25192.09	3	1158453658.31	1158.45
3	Oppland	25192.09	4	940811209.09	940.81
3	Oppland	25192.09	5	739127358.17	739.13
3	Oppland	25192.09	6	698259774.70	698.26
3	Oppland	25192.09	7	697412885.40	697.41
3	Oppland	25192.09	8	658860972.66	658.86
3	Oppland	25192.09	9	712411195.84	712.41
3	Oppland	25192.09	10	561666701.10	561.67
4	Buskerud	14912.19	1	8754626747.97	8754.63
4	Buskerud	14912.19	2	1025101443.75	1025.10
4	Buskerud	14912.19	3	641571291.18	641.57
4	Buskerud	14912.19	4	592664109.32	592.66
4	Buskerud	14912.19	5	399567049.87	399.57
4	Buskerud	14912.19	6	345593832.04	345.59
4	Buskerud	14912.19	7	412620484.89	412.62
4	Buskerud	14912.19	8	395666499.17	395.67
4	Buskerud	14912.19	9	419114802.81	419.11
4	Buskerud	14912.19	10	552821612.89	552.82
5	Vestfold	2225.38	1	1645164806.77	1645.16
5	Vestfold	2225.38	2	221397.20	0.22
5	Vestfold	2225.38	3	7199.91	0.01
5	Vestfold	2225.38	4	3599.95	0.00
5	Vestfold	2225.38	5	899.99	0.00
6	Telemark	15298.23	1	9930624783.91	9930.62
6	Telemark	15298.23	2	995699715.36	995.70
6	Telemark	15298.23	3	543404131.92	543.40
6	Telemark	15298.23	4	409700021.80	409.70
6	Telemark	15298.23	5	308262303.87	308.26
6	Telemark	15298.23	6	305097043.88	305.10
6	Telemark	15298.23	7	287414967.36	287.41
6	Telemark	15298.23	8	277129897.36	277.13
6	Telemark	15298.23	9	308768097.48	308.77
6	Telemark	15298.23	10	446377258.24	446.38
7	Aust-Agder	9155.36	1	6239357439.77	6239.36
7	Aust-Agder	9155.36	2	695691207.16	695.69
7	Aust-Agder	9155.36	3	343652556.58	343.65
7	Aust-Agder	9155.36	4	236177714.95	236.18
7	Aust-Agder	9155.36	5	181030911.95	181.03
7	Aust-Agder	9155.36	6	176512069.06	176.51
7	Aust-Agder	9155.36	7	135238590.72	135.24
7	Aust-Agder	9155.36	8	113943959.86	113.94
7	Aust-Agder	9155.36	9	125995707.54	126.00
7	Aust-Agder	9155.36	10	137019668.21	137.02
8	Vest-Agder	7278.52	1	4549551398.11	4549.55
8	Vest-Agder	7278.52	2	551547229.00	551.55
8	Vest-Agder	7278.52	3	314439825.80	314.44
8	Vest-Agder	7278.52	4	198789487.50	198.79
8	Vest-Agder	7278.52	5	152848668.15	152.85
8	Vest-Agder	7278.52	6	171309234.82	171.31
8	Vest-Agder	7278.52	7	153961954.08	153.96
8	Vest-Agder	7278.52	8	146791744.70	146.79
8	Vest-Agder	7278.52	9	172411720.89	172.41
8	Vest-Agder	7278.52	10	251683618.97	251.68
9	Rogaland	9376.75	1	5042100772.52	5042.10
9	Rogaland	9376.75	2	966604883.09	966.60
