 ; ;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017
Halden;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sarpsborg (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fredrikstad (-1993);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Moss;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sarpsborg;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fredrikstad;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hvaler;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Borge (-1993);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Varteig (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Skjeberg (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Aremark;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Marker;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Rømskog;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Trøgstad;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Spydeberg;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Askim;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Eidsberg;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Skiptvet;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Rakkestad;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tune (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Rolvsøy (1911-1993);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Kråkerøy (1908-1993);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Onsøy (-1993);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Råde;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Rygge;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Våler (Østf.);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hobøl;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Unknown municipalities, Østfold;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Vestby;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ski;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ås;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Frogn;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Nesodden;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Oppegård;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Bærum;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Asker;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Aurskog-Høland;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sørum;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Fet;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Rælingen;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Enebakk;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Lørenskog;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Skedsmo;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Nittedal;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Gjerdrum;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Ullensaker;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Nes (Ak.);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Eidsvoll;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Nannestad;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hurdal;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Unknown municipalities, Akershus;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Oslo municipality;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Uoppgitt komm. Oslo;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Hamar (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Kongsvinger;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;..;0;0;..;0;0
Hamar;;;;;;;;;;
 ;Willow Ptarmigan;150;..;..;150;..;..;..;..;..
Ringsaker;;;;;;;;;;
 ;Willow Ptarmigan;450;250;600;450;350;450;550;100;300
Vang (-1991);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Løten;;;;;;;;;;
 ;Willow Ptarmigan;..;..;100;..;..;..;..;..;..
Stange;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;..;0;0;0;0
Nord-Odal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;..;0;0;0;0;0
Sør-Odal;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;0;0;0;0;0
Eidskog;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;..;0;0;0;0
Grue;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;..;..;0;0;0;0
Åsnes;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;0;0;0;0
Våler (Hedm.);;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;..;..;0;0
Elverum;;;;;;;;;;
 ;Willow Ptarmigan;150;100;150;..;..;..;..;..;..
Trysil;;;;;;;;;;
 ;Willow Ptarmigan;2100;1300;2400;2550;500;1000;950;100;450
Åmot;;;;;;;;;;
 ;Willow Ptarmigan;200;250;250;200;150;150;200;..;100
Stor-Elvdal;;;;;;;;;;
 ;Willow Ptarmigan;1450;650;1050;1150;600;800;1200;350;600
Rendalen;;;;;;;;;;
 ;Willow Ptarmigan;1900;1150;1450;1350;550;1000;1500;550;800
Engerdal;;;;;;;;;;
 ;Willow Ptarmigan;1500;1050;1300;1550;750;700;750;200;200
Tolga-Os (1966-1975);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Tolga;;;;;;;;;;
 ;Willow Ptarmigan;1300;700;950;1350;800;1150;1800;550;1500
Tynset;;;;;;;;;;
 ;Willow Ptarmigan;2300;1000;1350;1650;400;1150;1550;350;1450
Alvdal;;;;;;;;;;
 ;Willow Ptarmigan;700;300;300;300;150;250;350;200;300
Folldal;;;;;;;;;;
 ;Willow Ptarmigan;1850;1050;1000;1300;150;900;1050;..;850
Os (Hedm.);;;;;;;;;;
 ;Willow Ptarmigan;2700;1000;1500;1550;1200;1400;2400;..;1800
Unknown municipalities, Hedmark;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Lillehammer;;;;;;;;;;
 ;Willow Ptarmigan;200;..;150;100;..;..;..;..;..
Gjøvik;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;..;..;0;0;0;0
Dovre;;;;;;;;;;
 ;Willow Ptarmigan;1400;700;800;650;100;500;750;400;550
Lesja;;;;;;;;;;
 ;Willow Ptarmigan;1250;850;1200;750;400;550;500;350;500
Skjåk;;;;;;;;;;
 ;Willow Ptarmigan;200;200;500;300;250;350;400;200;250
Lom;;;;;;;;;;
 ;Willow Ptarmigan;1300;850;1200;850;700;1100;1150;400;650
Vågå;;;;;;;;;;
 ;Willow Ptarmigan;1550;900;1050;1000;650;700;1100;750;1000
Nord-Fron;;;;;;;;;;
 ;Willow Ptarmigan;1150;450;600;650;400;500;900;200;350
Sel;;;;;;;;;;
 ;Willow Ptarmigan;650;300;350;300;300;300;500;300;300
Fron (1966-1976);;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;0;0;0;0;0
Sør-Fron;;;;;;;;;;
 ;Willow Ptarmigan;800;350;350;450;200;300;650;150;250
Ringebu;;;;;;;;;;
 ;Willow Ptarmigan;1850;800;1250;1200;600;500;1150;..;450
Øyer;;;;;;;;;;
 ;Willow Ptarmigan;1150;600;1200;1100;600;650;850;..;450
Gausdal;;;;;;;;;;
 ;Willow Ptarmigan;1000;500;550;750;300;350;550;..;..
Østre Toten;;;;;;;;;;
 ;Willow Ptarmigan;..;0;..;0;..;0;0;0;0
Vestre Toten;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;..;0;..;0;0
Jevnaker;;;;;;;;;;
 ;Willow Ptarmigan;..;0;0;0;..;0;0;0;0
Lunner;;;;;;;;;;
 ;Willow Ptarmigan;..;..;..;0;..;0;..;0;0
Gran;;;;;;;;;;
 ;Willow Ptarmigan;..;..;0;0;..;..;..;0;0
Søndre Land;;;;;;;;;;
 ;Willow Ptarmigan;0;0;0;0;..;..;..;0;0
Nordre Land;;;;;;;;;;
 ;Willow Ptarmigan;350;150;200;250;..;..;150;..;..
Sør-Aurdal;;;;;;;;;;
 ;Willow Ptarmigan;350;300;300;300;200;250;350;150;250
Etnedal;;;;;;;;;;
 ;Willow Ptarmigan;100;..;..;..;..;..;..;..;..
Nord-Aurdal;;;;;;;;;;
