cat	MunicipalityName	RSFbin	RSF m2	RSF km2
1	Værøy	1	5881452.64	5.88145264
1	Værøy	2	1770285.745	1.770285745
1	Værøy	3	1169090.586	1.169090586
1	Værøy	4	1039491.63	1.03949163
1	Værøy	5	546295.601	0.546295601
1	Værøy	6	673194.5792	0.673194579
1	Værøy	7	664194.6517	0.664194652
1	Værøy	8	430196.5359	0.430196536
1	Værøy	9	224098.1955	0.224098195
1	Værøy	10	285297.7027	0.285297703
2	Hemnes	1	690610338.9	690.6103389
2	Hemnes	2	203786259	203.786259
2	Hemnes	3	115050573.6	115.0505736
2	Hemnes	4	56832742.36	56.83274236
2	Hemnes	5	35854811.28	35.85481128
2	Hemnes	6	40157676.64	40.15767664
2	Hemnes	7	41882062.75	41.88206275
2	Hemnes	8	37227300.23	37.22730023
2	Hemnes	9	45591832.88	45.59183288
2	Hemnes	10	29911259.14	29.91125914
3	Lødingen	1	340358359.3	340.3583593
3	Lødingen	2	66318665.98	66.31866598
3	Lødingen	3	25690293.13	25.69029313
3	Lødingen	4	14667181.89	14.66718189
3	Lødingen	5	12274101.16	12.27410116
3	Lødingen	6	13993987.32	13.99398732
3	Lødingen	7	8132334.515	8.132334515
3	Lødingen	8	6507847.596	6.507847596
3	Lødingen	9	7159442.35	7.15944235
3	Lødingen	10	3000575.838	3.000575838
4	Dønna	1	156578039.2	156.5780392
4	Dønna	2	8811829.044	8.811829044
4	Dønna	3	3119374.882	3.119374882
4	Dønna	4	1205090.296	1.205090296
4	Dønna	5	931492.4993	0.931492499
4	Dønna	6	859493.079	0.859493079
4	Dønna	7	1061991.448	1.061991448
4	Dønna	8	843293.2095	0.843293209
4	Dønna	9	837893.253	0.837893253
4	Dønna	10	445496.4127	0.445496413
5	Songdalen	1	201155580.2	201.1555802
6	Asker	1	71010328.2	71.0103282
7	Leikanger	1	104621457.5	104.6214575
7	Leikanger	2	14780580.98	14.78058098
7	Leikanger	3	8898228.348	8.898228348
7	Leikanger	4	6327849.046	6.327849046
7	Leikanger	5	5058859.264	5.058859264
7	Leikanger	6	6119050.727	6.119050727
7	Leikanger	7	2654978.621	2.654978621
7	Leikanger	8	1934084.426	1.934084426
7	Leikanger	9	2536179.578	2.536179578
7	Leikanger	10	15113578.3	15.1135783
8	Fredrikstad	1	189017378	189.017378
9	Hadsel	1	395455915.6	395.4559156
9	Hadsel	2	56227947.23	56.22794723
9	Hadsel	3	21535926.58	21.53592658
9	Hadsel	4	11303008.98	11.30300898
9	Hadsel	5	7995535.617	7.995535617
9	Hadsel	6	9071926.949	9.071926949
9	Hadsel	7	4400064.569	4.400064569
9	Hadsel	8	3777269.584	3.777269584
9	Hadsel	9	4657462.496	4.657462496
9	Hadsel	10	2742277.918	2.742277918
10	Sandnes	1	222537608	222.537608
10	Sandnes	2	6957843.973	6.957843973
10	Sandnes	3	2011483.803	2.011483803
10	Sandnes	4	877492.9341	0.877492934
10	Sandnes	5	364497.0649	0.364497065
10	Sandnes	6	212398.2897	0.21239829
10	Sandnes	7	119699.0361	0.119699036
10	Sandnes	8	18899.84781	0.018899848
10	Sandnes	9	35999.71012	0.03599971
10	Sandnes	10	35099.71736	0.035099717
11	Hareid	1	39802179.5	39.8021795
11	Hareid	2	5305457.278	5.305457278
11	Hareid	3	3507271.758	3.507271758
11	Hareid	4	3950968.185	3.950968185
11	Hareid	5	4367664.83	4.36766483
11	Hareid	6	4896860.569	4.896860569
11	Hareid	7	2894376.693	2.894376693
11	Hareid	8	1962884.194	1.962884194
11	Hareid	9	2451580.259	2.451580259
11	Hareid	10	2316581.346	2.316581346
12	Tokke	1	750880153.6	750.8801536
12	Tokke	2	65092875.85	65.09287585
12	Tokke	3	25224996.88	25.22499688
12	Tokke	4	15487075.29	15.48707529
12	Tokke	5	11355208.56	11.35520856
12	Tokke	6	11121210.45	11.12121045
12	Tokke	7	7077543.009	7.077543009
12	Tokke	8	5728453.872	5.728453872
12	Tokke	9	6516847.524	6.516847524
12	Tokke	10	10341816.72	10.34181672
13	Askvoll	1	162607990.6	162.6079906
13	Askvoll	2	39730180.08	39.73018008
13	Askvoll	3	20592734.18	20.59273418
13	Askvoll	4	16751565.11	16.75156511
13	Askvoll	5	15948771.57	15.94877157
13	Askvoll	6	14466483.51	14.46648351
13	Askvoll	7	10501115.44	10.50111544
13	Askvoll	8	8567031.015	8.567031015
13	Askvoll	9	9469723.746	9.469723746
13	Askvoll	10	11212109.72	11.21210972
14	Overhalla	1	364911061.6	364.9110616
14	Overhalla	2	76576783.38	76.57678338
14	Overhalla	3	40695872.3	40.6958723
14	Overhalla	4	27991574.6	27.9915746
14	Overhalla	5	25752392.63	25.75239263
14	Overhalla	6	31630245.3	31.6302453
14	Overhalla	7	27219380.82	27.21938082
14	Overhalla	8	21855424.01	21.85542401
14	Overhalla	9	24666101.38	24.66610138
14	Overhalla	10	16068470.61	16.06847061
15	Bergen	1	287787982.6	287.7879826
15	Bergen	2	28259772.44	28.25977244
15	Bergen	3	14533982.97	14.53398297
15	Bergen	4	10659514.17	10.65951417
15	Bergen	5	8036035.291	8.036035291
15	Bergen	6	7431240.161	7.431240161
15	Bergen	7	7787637.291	7.787637291
15	Bergen	8	7072143.052	7.072143052
15	Bergen	9	7240441.697	7.240441697
15	Bergen	10	5855352.851	5.855352851
16	Ringsaker	1	700433759.8	700.4337598
16	Ringsaker	2	62894193.55	62.89419355
16	Ringsaker	3	37215600.33	37.21560033
16	Ringsaker	4	29234464.59	29.23446459
16	Ringsaker	5	11613506.48	11.61350648
16	Ringsaker	6	8251133.559	8.251133559
16	Ringsaker	7	17216861.36	17.21686136
16	Ringsaker	8	22091222.11	22.09122211
16	Ringsaker	9	27128481.55	27.12848155
16	Ringsaker	10	42191660.26	42.19166026
17	Kristiansand	1	241151258.2	241.1512582
18	Hurum	1	141261062.5	141.2610625
19	Krødsherad	1	310919596.4	310.9195964
19	Krødsherad	2	6209949.995	6.209949995
19	Krødsherad	3	3971668.019	3.971668019
19	Krødsherad	4	3088775.128	3.088775128
19	Krødsherad	5	2237381.984	2.237381984
19	Krødsherad	6	2312981.375	2.312981375
19	Krødsherad	7	1527287.702	1.527287702
19	Krødsherad	8	1194290.383	1.194290383
19	Krødsherad	9	1760385.825	1.760385825
19	Krødsherad	10	9013427.421	9.013427421
20	Alstahaug	1	152911468.7	152.9114687
20	Alstahaug	2	5750053.698	5.750053698
20	Alstahaug	3	1564187.405	1.564187405
20	Alstahaug	4	748793.9704	0.74879397
20	Alstahaug	5	530095.7315	0.530095731
20	Alstahaug	6	465296.2533	0.465296253
20	Alstahaug	7	503995.9416	0.503995942
20	Alstahaug	8	338397.2751	0.338397275
20	Alstahaug	9	262797.8839	0.262797884
20	Alstahaug	10	183598.5216	0.183598522
21	Kvitsøy	1	4232665.917	4.232665917
22	Vågå	1	645254304.2	645.2543042
22	Vågå	2	118503845.8	118.5038458
22	Vågå	3	65064976.07	65.06497607
22	Vågå	4	58495028.98	58.49502898
22	Vågå	5	47435018.04	47.43501804
22	Vågå	6	46135428.5	46.1354285
22	Vågå	7	50436493.87	50.43649387
22	Vågå	8	53510869.11	53.51086911
22	Vågå	9	66364565.61	66.36456561
22	Vågå	10	29140865.35	29.14086535
23	Nærøy	1	693367016.7	693.3670167
23	Nærøy	2	106040746.1	106.0407461
23	Nærøy	3	49503201.38	49.50320138
23	Nærøy	4	24892899.55	24.89289955
23	Nærøy	5	18070954.49	18.07095449
23	Nærøy	6	17022462.93	17.02246293
23	Nærøy	7	16192669.61	16.19266961
23	Nærøy	8	13798688.89	13.79868889
23	Nærøy	9	15815572.65	15.81557265
23	Nærøy	10	11582006.74	11.58200674
24	Leksvik	1	174331296.2	174.3312962
24	Leksvik	2	74978396.25	74.97839625
24	Leksvik	3	36181508.65	36.18150865
24	Leksvik	4	23404311.54	23.40431154
24	Leksvik	5	15612174.28	15.61217428
24	Leksvik	6	15802072.76	15.80207276
24	Leksvik	7	14018287.12	14.01828712
24	Leksvik	8	10875512.43	10.87551243
24	Leksvik	9	11092410.68	11.09241068
24	Leksvik	10	12448699.76	12.44869976
25	Sande	1	141972956.8	141.9729568
26	Stranda	1	550732565.3	550.7325653
26	Stranda	2	56711243.34	56.71124334
26	Stranda	3	30103857.59	30.10385759
26	Stranda	4	16695765.56	16.69576556
26	Stranda	5	13167793.97	13.16779397
26	Stranda	6	13596190.52	13.59619052
26	Stranda	7	7794837.233	7.794837233
26	Stranda	8	5281157.474	5.281157474
26	Stranda	9	5781553.445	5.781553445
26	Stranda	10	12261501.27	12.26150127
27	Gulen	1	382394320.8	382.3943208
27	Gulen	2	45793431.25	45.79343125
27	Gulen	3	26040390.31	26.04039031
27	Gulen	4	21972423.07	21.97242307
27	Gulen	5	18437251.54	18.43725154
27	Gulen	6	18686549.53	18.68654953
27	Gulen	7	14554682.8	14.5546828
27	Gulen	8	12554898.9	12.5548989
27	Gulen	9	14003887.24	14.00388724
27	Gulen	10	20263336.83	20.26333683
28	Farsund	1	211414597.6	211.4145976
28	Farsund	2	8566131.022	8.566131022
28	Farsund	3	3104075.005	3.104075005
