cat	ID	Fylkesnavn	Fylkesnr	Kommunenavn	Region	Rapporteringsniva	OmradeID	OmradeNavn	LinjeID	Aktiv	Linjelengde	Tot_taks	SatVeg_number	Open_number	Forest_number	NON_HAB_number
1	4028	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4028	1	2590.21543258924	2.59021543258924	1150	1149	1	0
2	120	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	120	0	5515.14751412719	5.51514751412719	2448	2229	155	64
3	4025	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4025	1	2239.99359400781	2.23999359400781	995	988	7	0
4	3800	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	3800	0	2457.26696702103	2.45726696702103	1090	1089	1	0
5	3801	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	3801	0	2121.94940070058	2.12194940070058	946	936	0	10
6	4023	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4023	1	1351.27095464383	1.35127095464383	601	365	236	0
7	4029	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4029	1	2121.94940070058	2.12194940070058	946	936	0	10
8	4027	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4027	1	1974.77102589899	1.97477102589899	879	873	6	0
9	3799	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	3799	0	3297.05338808009	3.29705338808008	1466	1450	16	0
10	4022	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4022	1	1119.51769889759	1.1195176988976	496	353	143	0
11	123	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	123	0	3553.27873993311	3.55327873993311	1579	1547	32	0
12	118	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	118	0	3182.99563447043	3.18299563447043	1409	983	426	0
13	4024	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4024	1	2126.49599300538	2.12649599300538	945	840	105	0
14	119	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	119	0	4624.33131824081	4.62433131824081	2056	1800	256	0
15	122	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	122	0	3683.41177787033	3.68341177787033	1640	1527	113	0
16	4026	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	4026	1	2768.00578432792	2.76800578432792	1230	1225	5	0
17	124	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	124	0	3002.75888535308	3.00275888535308	1335	1313	12	10
18	117	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	117	0	2262.13760488351	2.26213760488351	1005	791	213	1
19	121	Oppland	05	Dovre	Statskog	Kongsvoll	285	Gåvålia	121	0	4754.41837915431	4.75441837915431	2113	2044	69	0
20	91	Oppland	05	Dovre	Statskog	Kongsvoll	286	Kongsvoll	91	1	2702.65952140851	2.7026595214085	1198	1184	14	0
21	93	Oppland	05	Dovre	Statskog	Kongsvoll	286	Kongsvoll	93	1	3744.93402210695	3.74493402210695	1665	1659	4	2
22	103	Oppland	05	Dovre	Statskog	Kongsvoll	286	Kongsvoll	103	1	3297.3586116976	3.2973586116976	1464	1117	347	0
23	1389	Oppland	05	Dovre	Statskog	Kongsvoll	286	Kongsvoll	1389	1	2452.36556312818	2.45236556312818	1091	1091	0	0
24	114	Oppland	05	Dovre	Statskog	Kongsvoll	286	Kongsvoll	114	1	2452.32556762675	2.45232556762675	1090	1047	43	0
25	96	Oppland	05	Dovre	Statskog	Kongsvoll	286	Kongsvoll	96	1	2102.0191903854	2.1020191903854	934	927	7	0
