"ID"	"Total"	"TotalTerrestrial"	"nuTypes"	"Forest"	"Open"	"HabitatClass"
"1"	292	1643	1643	14	389	1254	17
"2"	293	1799	1798	15	491	1307	17
"3"	294	1603	1601	14	1095	506	3
"4"	296	1738	1727	17	123	1604	17
"5"	297	1667	1667	16	63	1604	17
"6"	299	466	463	17	20	443	17
"7"	300	970	937	16	757	180	1
"8"	303	14	14	2	0	14	17
"9"	306	1099	1088	19	682	406	4
"10"	307	1922	1919	20	456	1463	16
"11"	308	1587	1535	19	179	1356	9
"12"	309	1927	1927	19	637	1290	9
"13"	310	1963	1936	19	825	1111	19
"14"	311	1956	1920	20	257	1663	9
"15"	312	1927	1927	16	633	1294	9
"16"	313	1935	1884	18	1287	597	4
"17"	314	1949	1949	15	504	1445	9
"18"	315	1570	1570	19	693	877	9
"19"	316	980	979	19	139	840	17
"20"	317	1045	1045	17	300	745	17
"21"	318	1124	1124	18	237	887	17
"22"	319	1129	1127	19	308	819	17
"23"	320	1121	1121	16	352	769	17
"24"	321	1016	1005	20	200	805	17
"25"	322	1086	1086	17	237	849	17
"26"	323	822	822	17	251	571	17
"27"	324	1042	1032	18	304	728	17
"28"	325	1167	1167	18	427	740	17
"29"	326	1217	1217	18	483	734	17
"30"	327	1226	1226	18	433	793	17
"31"	328	2293	2223	18	105	2118	17
"32"	329	1912	1729	14	10	1719	17
"33"	330	1388	1343	18	876	467	17
"34"	331	574	573	17	364	209	5
"35"	332	1026	948	19	146	802	17
"36"	333	1986	1931	17	25	1906	17
"37"	334	1051	1013	11	1	1012	17
"38"	335	882	805	20	194	611	17
"39"	336	1030	1024	16	279	745	17
"40"	337	2120	2118	17	1915	203	5
"41"	338	1914	1891	17	726	1165	5
"42"	339	584	584	15	368	216	5
"43"	340	1683	1468	14	1339	129	2
"44"	341	713	706	20	454	252	7
"45"	342	1015	978	20	261	717	17
"46"	343	1941	1940	17	226	1714	17
"47"	344	1033	1017	19	424	593	17
"48"	345	912	899	15	225	674	17
"49"	346	2016	1985	17	1149	836	17
"50"	347	913	753	15	197	556	17
"51"	348	993	927	13	96	831	16
"52"	349	1729	1717	16	153	1564	17
"53"	350	1493	1464	19	1205	259	5
"54"	351	2017	2015	18	779	1236	17
"55"	352	1042	978	15	62	916	17
"56"	353	2000	1973	19	627	1346	17
"57"	354	1035	973	15	80	893	17
"58"	355	1225	1185	20	437	748	17
"59"	356	1378	1303	20	893	410	5
"60"	357	1433	1403	19	767	636	17
"61"	358	1225	1183	20	676	507	17
"62"	359	1330	1239	15	1170	69	5
"63"	360	1125	1074	21	586	488	17
"64"	361	1191	1082	18	489	593	17
"65"	362	1287	1245	19	457	788	17
"66"	363	1448	1421	20	449	972	17
"67"	364	2574	2449	22	742	1707	17
"68"	365	899	820	18	251	569	17
"69"	366	1375	1341	17	820	521	17
"70"	367	1507	1434	22	942	492	5
"71"	368	1633	1577	18	1414	163	6
"72"	369	3026	2796	21	1073	1723	17
"73"	370	1238	1146	21	452	694	17
"74"	371	1746	1736	19	697	1039	17
"75"	372	970	928	15	663	265	17
"76"	373	1370	1353	16	652	701	17
"77"	374	1538	1330	21	609	721	17
"78"	375	1497	1465	21	549	916	17
"79"	376	922	862	15	53	809	13
"80"	377	1197	1135	19	911	224	5
"81"	378	1836	1756	20	263	1493	17
"82"	379	1215	1075	18	446	629	17
"83"	380	1619	1511	20	576	935	17
"84"	381	1530	1502	18	591	911	17
"85"	382	2215	2099	18	250	1849	17
"86"	383	1231	1132	17	131	1001	12
"87"	384	2119	2064	18	229	1835	17
"88"	385	1332	1273	19	106	1167	17
"89"	386	964	908	17	180	728	17
"90"	387	722	710	19	325	385	5
"91"	388	520	497	18	151	346	13
"92"	389	1130	986	18	220	766	17
"93"	390	1275	1120	19	438	682	17
"94"	391	1802	1783	21	960	823	17
"95"	392	1878	1843	20	684	1159	17
"96"	393	1296	1180	21	505	675	17
"97"	394	469	467	17	147	320	13
"98"	395	993	948	17	858	90	5
"99"	396	1986	1948	22	683	1265	17
"100"	397	2349	2345	18	678	1667	17
"101"	398	1476	1476	18	798	678	17
"102"	399	1481	1481	18	858	623	17
"103"	400	1895	1884	16	189	1695	17
"104"	401	595	595	10	490	105	5
"105"	402	1444	1444	13	299	1145	16
"106"	403	1473	1473	15	900	573	5
"107"	404	1678	1678	14	173	1505	13
"108"	405	1469	1469	17	797	672	5
"109"	406	2126	2112	21	201	1911	17
"110"	407	1473	1473	16	798	675	9
"111"	408	1471	1410	20	537	873	9
"112"	409	1468	1468	18	499	969	9
"113"	410	1735	1691	16	13	1678	17
"114"	411	1364	1363	14	491	872	17
"115"	412	1465	1464	17	1231	233	6
"116"	413	1199	1198	12	486	712	7
"117"	414	1209	1205	12	1169	36	6
"118"	415	1797	1796	15	788	1008	19
"119"	416	1479	1361	19	947	414	6
"120"	417	1122	1120	13	197	923	17
"121"	418	1202	1194	13	268	926	13
"122"	419	1057	1057	17	414	643	17
"123"	420	1025	1025	14	295	730	13
"124"	421	1647	1637	16	273	1364	17
"125"	422	1360	1351	14	1014	337	6
"126"	423	1837	1828	11	0	1828	13
"127"	424	1358	1358	17	244	1114	17
"128"	425	1227	1220	17	144	1076	14
"129"	426	1830	1825	13	35	1790	17
"130"	427	1077	1020	18	148	872	14
"131"	428	1187	1130	16	385	745	16
"132"	429	1944	1932	19	934	998	17
"133"	430	1207	1204	14	182	1022	14
"134"	431	1065	1058	8	0	1058	17
"135"	432	911	908	15	417	491	16
"136"	433	1081	1072	15	31	1041	17
"137"	434	1880	1880	18	405	1475	14
"138"	435	1308	1274	14	11	1263	16
"139"	436	2375	2375	14	57	2318	13
"140"	437	1932	1932	17	655	1277	17
"141"	438	1892	1892	18	437	1455	14
"142"	439	2457	2395	16	270	2125	17
"143"	440	1589	1589	18	400	1189	17
"144"	441	2897	2849	19	496	2353	17
"145"	442	1590	1560	13	122	1438	14
"146"	443	2257	2171	13	7	2164	20
"147"	444	2015	2015	15	1058	957	17
"148"	445	1399	1395	18	311	1084	17
"149"	446	1762	1762	16	527	1235	17
"150"	447	2023	2023	9	0	2023	17
"151"	448	2245	2161	14	12	2149	14
"152"	449	1405	1405	16	312	1093	17
"153"	450	1358	1358	14	1022	336	7
"154"	451	1299	1299	16	659	640	7
"155"	452	2063	2061	14	13	2048	17
"156"	453	852	799	14	3	796	16
"157"	454	1595	1556	13	10	1546	20
"158"	455	2043	2043	11	0	2043	17
"159"	456	1028	1028	14	9	1019	14
"160"	457	1648	1576	18	446	1130	14
"161"	458	1567	1567	8	0	1567	17
"162"	459	2183	2089	18	129	1960	17
"163"	460	1310	1310	17	294	1016	17
"164"	461	1128	1128	7	0	1128	17
"165"	462	2320	2320	10	0	2320	17
"166"	463	2912	2896	19	481	2415	17
"167"	464	2603	2498	18	24	2474	17
"168"	465	952	827	16	107	720	17
"169"	466	1246	1209	19	100	1109	17
"170"	467	1028	1028	6	0	1028	17
"171"	468	1594	1594	10	0	1594	17
"172"	469	1933	1933	18	519	1414	17
"173"	470	1476	1476	14	1437	39	4
"174"	471	1588	1542	16	92	1450	14
"175"	472	1756	1756	9	1	1755	17
"176"	473	2275	2137	18	447	1690	17
"177"	474	2120	2120	10	0	2120	17
"178"	475	994	981	9	6	975	20
"179"	476	1788	1784	13	5	1779	17
"180"	477	2274	2193	11	0	2193	17
"181"	478	2122	2087	15	21	2066	17
"182"	479	981	981	13	503	478	4
"183"	480	1227	1227	13	932	295	4
"184"	481	1299	1299	17	721	578	5
"185"	482	1011	1011	13	18	993	17
"186"	483	2154	2154	17	563	1591	17
"187"	484	1402	1402	15	515	887	17
"188"	485	1084	1044	14	148	896	16
"189"	486	2122	2122	11	0	2122	17
"190"	487	1960	1959	11	0	1959	17
"191"	488	788	718	12	0	718	14
"192"	489	1964	1960	16	957	1003	17
"193"	490	838	838	12	2	836	20
"194"	491	1087	1087	15	183	904	17
"195"	492	1068	1068	9	0	1068	14
"196"	493	2082	1979	9	0	1979	17
"197"	494	1676	1591	15	2	1589	17
"198"	495	924	924	13	787	137	4
"199"	496	1932	1932	13	581	1351	17
"200"	497	896	845	13	142	703	16
